"province","city","cityType","GDP","POP","lon","lat"
"北京","北京市","直辖市","28000","2170.7","116.46","39.92"
"天津","天津市","直辖市","18595.38","1556.87","117.2","39.13"
"河北","石家庄市","地级市","6003.1","1015.12","114.48","38.03"
"河北","唐山市","地级市","7106.1","784.36","118.02","39.63"
"河北","秦皇岛市","地级市","1506","309.46","119.59964","39.93545"
"河北","邯郸市","地级市","3666.3","949.28","114.47","36.6"
"河北","邢台市","地级市","2236.36","731.99","114.48","37.05"
"河北","保定市","地级市","3227.3","1042.53","115.46459","38.87396"
"河北","张家口市","地级市","1555.6","442.51","114.88755","40.82444"
"河北","承德市","地级市","1618.6","353.18","117.9634","40.9515"
"河北","沧州市","地级市","3816.9","750.55","116.83869","38.30441"
"河北","廊坊市","地级市","2880.6","461.5","116.68376","39.53775"
"河北","衡水市","地级市","1550.1","445.31","115.67054","37.73886"
"山西","太原市","地级市","3382.18","437.97","112.53","37.87"
"山西","大同市","地级市","1121.8","344.24","113.3","40.12"
"山西","阳泉市","地级市","672","140.88","113.57","37.85"
"山西","长治市","地级市","1477.5","345.49","113.08","36.18"
"山西","晋城市","地级市","1151.5","233.3","112.83","35.52"
"山西","朔州市","地级市","980.2","177.6","112.43286","39.33155"
"山西","晋中市","地级市","1284.9","336.56","112.70746","37.69978"
"山西","运城市","地级市","1336.1","533.6","110.97","35.03"
"山西","吕梁市","地级市","1310.3","387.89","111.14165","37.51934"
"山西","临汾市","地级市","1320.1","448.15","111.5","36.08"
"内蒙古","呼和浩特市","地级市","3173.6","243.79","111.65","40.82"
"内蒙古","包头市","地级市","3867.6","229.74","110","40.58"
"内蒙古","乌海市","地级市","572.2","43.49","106.82","39.67"
"内蒙古","赤峰市","地级市","1933.3","451.8","118.87","42.28"
"内蒙古","通辽市","地级市","1949.4","308.35","122.28","43.63"
"内蒙古","鄂尔多斯市","地级市","4417.9","205.53","109.78087","39.60845"
"内蒙古","呼伦贝尔市","地级市","1620.9","273.65","119.76584","49.21163"
"内蒙古","巴彦淖尔市","地级市","915.4","171.38","107.38773","40.74317"
"内蒙古","乌兰察布市","地级市","938.9","232.63","113.13376","40.99391"
"辽宁","沈阳市","副省级市","5865","739.4","123.38","41.8"
"辽宁","大连市","副省级市","7363","580.1","121.62","38.92"
"辽宁","鞍山市","地级市","1597.5","354.1","122.9946","41.10777"
"辽宁","抚顺市","地级市","950","227","123.97","41.97"
"辽宁","本溪市","地级市","830","156.7","123.73","41.3"
"辽宁","丹东市","地级市","800","240","124.37","40.13"
"辽宁","锦州市","地级市","1134","307","121.15","41.13"
"辽宁","营口市","地级市","1270","230","122.18","40.65"
"辽宁","阜新市","地级市","417","190","121.65","42"
"辽宁","辽阳市","地级市","760","127","123.17","41.28"
"辽宁","盘锦市","地级市","1075","150","122.07078","41.11996"
"辽宁","铁岭市","地级市","610","316.99","123.85","42.32"
