date,cum_dx,city,province,cityType,GDP,POP,lon,lat,hospital,bed,doctor
20200124,0.0,七台河市,黑龙江,地级市,231.4,92.04,131.00306,45.77065,27.0,3959.0,1789.0
20200125,0.0,七台河市,黑龙江,地级市,231.4,92.04,131.00306,45.77065,27.0,3959.0,1789.0
20200126,0.0,七台河市,黑龙江,地级市,231.4,92.04,131.00306,45.77065,27.0,3959.0,1789.0
20200127,1.0,七台河市,黑龙江,地级市,231.4,92.04,131.00306,45.77065,27.0,3959.0,1789.0
20200128,2.0,七台河市,黑龙江,地级市,231.4,92.04,131.00306,45.77065,27.0,3959.0,1789.0
20200129,2.0,七台河市,黑龙江,地级市,231.4,92.04,131.00306,45.77065,27.0,3959.0,1789.0
20200130,2.0,七台河市,黑龙江,地级市,231.4,92.04,131.00306,45.77065,27.0,3959.0,1789.0
20200131,3.0,七台河市,黑龙江,地级市,231.4,92.04,131.00306,45.77065,27.0,3959.0,1789.0
20200201,5.0,七台河市,黑龙江,地级市,231.4,92.04,131.00306,45.77065,27.0,3959.0,1789.0
20200202,6.0,七台河市,黑龙江,地级市,231.4,92.04,131.00306,45.77065,27.0,3959.0,1789.0
20200203,7.0,七台河市,黑龙江,地级市,231.4,92.04,131.00306,45.77065,27.0,3959.0,1789.0
20200204,8.0,七台河市,黑龙江,地级市,231.4,92.04,131.00306,45.77065,27.0,3959.0,1789.0
20200205,9.0,七台河市,黑龙江,地级市,231.4,92.04,131.00306,45.77065,27.0,3959.0,1789.0
20200206,9.0,七台河市,黑龙江,地级市,231.4,92.04,131.00306,45.77065,27.0,3959.0,1789.0
20200207,10.0,七台河市,黑龙江,地级市,231.4,92.04,131.00306,45.77065,27.0,3959.0,1789.0
20200208,11.0,七台河市,黑龙江,地级市,231.4,92.04,131.00306,45.77065,27.0,3959.0,1789.0
20200209,13.0,七台河市,黑龙江,地级市,231.4,92.04,131.00306,45.77065,27.0,3959.0,1789.0
20200124,2.0,万宁市,海南,县级市,224.33,57.36,110.39,18.8,19.9,2613.4,1495.7
20200125,5.0,万宁市,海南,县级市,224.33,57.36,110.39,18.8,19.9,2613.4,1495.7
20200126,5.0,万宁市,海南,县级市,224.33,57.36,110.39,18.8,19.9,2613.4,1495.7
20200127,7.0,万宁市,海南,县级市,224.33,57.36,110.39,18.8,19.9,2613.4,1495.7
20200128,7.0,万宁市,海南,县级市,224.33,57.36,110.39,18.8,19.9,2613.4,1495.7
20200129,8.0,万宁市,海南,县级市,224.33,57.36,110.39,18.8,19.9,2613.4,1495.7
20200130,8.0,万宁市,海南,县级市,224.33,57.36,110.39,18.8,19.9,2613.4,1495.7
20200131,8.0,万宁市,海南,县级市,224.33,57.36,110.39,18.8,19.9,2613.4,1495.7
20200201,8.0,万宁市,海南,县级市,224.33,57.36,110.39,18.8,19.9,2613.4,1495.7
20200202,8.0,万宁市,海南,县级市,224.33,57.36,110.39,18.8,19.9,2613.4,1495.7
20200203,9.0,万宁市,海南,县级市,224.33,57.36,110.39,18.8,19.9,2613.4,1495.7
20200204,11.0,万宁市,海南,县级市,224.33,57.36,110.39,18.8,19.9,2613.4,1495.7
20200205,11.0,万宁市,海南,县级市,224.33,57.36,110.39,18.8,19.9,2613.4,1495.7
20200206,11.0,万宁市,海南,县级市,224.33,57.36,110.39,18.8,19.9,2613.4,1495.7
20200207,12.0,万宁市,海南,县级市,224.33,57.36,110.39,18.8,19.9,2613.4,1495.7
20200208,12.0,万宁市,海南,县级市,224.33,57.36,110.39,18.8,19.9,2613.4,1495.7
20200209,12.0,万宁市,海南,县级市,224.33,57.36,110.39,18.8,19.9,2613.4,1495.7
20200124,3.0,万州区,重庆,市辖区,965.81,163.58,108.39,30.81,45.4,7198.6,3363.0
20200125,10.0,万州区,重庆,市辖区,965.81,163.58,108.39,30.81,45.4,7198.6,3363.0
20200126,13.0,万州区,重庆,市辖区,965.81,163.58,108.39,30.81,45.4,7198.6,3363.0
20200127,14.0,万州区,重庆,市辖区,965.81,163.58,108.39,30.81,45.4,7198.6,3363.0
20200128,15.0,万州区,重庆,市辖区,965.81,163.58,108.39,30.81,45.4,7198.6,3363.0
20200129,17.0,万州区,重庆,市辖区,965.81,163.58,108.39,30.81,45.4,7198.6,3363.0
20200130,24.0,万州区,重庆,市辖区,965.81,163.58,108.39,30.81,45.4,7198.6,3363.0
20200131,29.0,万州区,重庆,市辖区,965.81,163.58,108.39,30.81,45.4,7198.6,3363.0
20200201,39.0,万州区,重庆,市辖区,965.81,163.58,108.39,30.81,45.4,7198.6,3363.0
20200202,44.0,万州区,重庆,市辖区,965.81,163.58,108.39,30.81,45.4,7198.6,3363.0
20200203,50.0,万州区,重庆,市辖区,965.81,163.58,108.39,30.81,45.4,7198.6,3363.0
20200204,60.0,万州区,重庆,市辖区,965.81,163.58,108.39,30.81,45.4,7198.6,3363.0
20200205,67.0,万州区,重庆,市辖区,965.81,163.58,108.39,30.81,45.4,7198.6,3363.0
20200206,70.0,万州区,重庆,市辖区,965.81,163.58,108.39,30.81,45.4,7198.6,3363.0
20200207,74.0,万州区,重庆,市辖区,965.81,163.58,108.39,30.81,45.4,7198.6,3363.0
20200208,78.0,万州区,重庆,市辖区,965.81,163.58,108.39,30.81,45.4,7198.6,3363.0
20200209,85.0,万州区,重庆,市辖区,965.81,163.58,108.39,30.81,45.4,7198.6,3363.0
20200124,2.0,三亚市,海南,地级市,529.25,68.54,109.51208999999999,18.25248,11.0,2361.0,2219.0
20200125,6.0,三亚市,海南,地级市,529.25,68.54,109.51208999999999,18.25248,11.0,2361.0,2219.0
20200126,8.0,三亚市,海南,地级市,529.25,68.54,109.51208999999999,18.25248,11.0,2361.0,2219.0
20200127,11.0,三亚市,海南,地级市,529.25,68.54,109.51208999999999,18.25248,11.0,2361.0,2219.0
20200128,14.0,三亚市,海南,地级市,529.25,68.54,109.51208999999999,18.25248,11.0,2361.0,2219.0
20200129,14.0,三亚市,海南,地级市,529.25,68.54,109.51208999999999,18.25248,11.0,2361.0,2219.0
20200130,14.0,三亚市,海南,地级市,529.25,68.54,109.51208999999999,18.25248,11.0,2361.0,2219.0
20200131,14.0,三亚市,海南,地级市,529.25,68.54,109.51208999999999,18.25248,11.0,2361.0,2219.0
20200201,15.0,三亚市,海南,地级市,529.25,68.54,109.51208999999999,18.25248,11.0,2361.0,2219.0
20200202,17.0,三亚市,海南,地级市,529.25,68.54,109.51208999999999,18.25248,11.0,2361.0,2219.0
20200203,18.0,三亚市,海南,地级市,529.25,68.54,109.51208999999999,18.25248,11.0,2361.0,2219.0
20200204,18.0,三亚市,海南,地级市,529.25,68.54,109.51208999999999,18.25248,11.0,2361.0,2219.0
20200205,22.0,三亚市,海南,地级市,529.25,68.54,109.51208999999999,18.25248,11.0,2361.0,2219.0
20200206,30.0,三亚市,海南,地级市,529.25,68.54,109.51208999999999,18.25248,11.0,2361.0,2219.0
20200207,34.0,三亚市,海南,地级市,529.25,68.54,109.51208999999999,18.25248,11.0,2361.0,2219.0
20200208,37.0,三亚市,海南,地级市,529.25,68.54,109.51208999999999,18.25248,11.0,2361.0,2219.0
20200209,41.0,三亚市,海南,地级市,529.25,68.54,109.51208999999999,18.25248,11.0,2361.0,2219.0
20200124,0.0,三明市,福建,地级市,2136.06,255.0,117.61,26.23,46.0,10365.0,5439.0
20200125,1.0,三明市,福建,地级市,2136.06,255.0,117.61,26.23,46.0,10365.0,5439.0
20200126,4.0,三明市,福建,地级市,2136.06,255.0,117.61,26.23,46.0,10365.0,5439.0
20200127,4.0,三明市,福建,地级市,2136.06,255.0,117.61,26.23,46.0,10365.0,5439.0
20200128,8.0,三明市,福建,地级市,2136.06,255.0,117.61,26.23,46.0,10365.0,5439.0
20200129,9.0,三明市,福建,地级市,2136.06,255.0,117.61,26.23,46.0,10365.0,5439.0
20200130,10.0,三明市,福建,地级市,2136.06,255.0,117.61,26.23,46.0,10365.0,5439.0
20200131,10.0,三明市,福建,地级市,2136.06,255.0,117.61,26.23,46.0,10365.0,5439.0
20200201,10.0,三明市,福建,地级市,2136.06,255.0,117.61,26.23,46.0,10365.0,5439.0
20200202,11.0,三明市,福建,地级市,2136.06,255.0,117.61,26.23,46.0,10365.0,5439.0
20200203,11.0,三明市,福建,地级市,2136.06,255.0,117.61,26.23,46.0,10365.0,5439.0
20200204,11.0,三明市,福建,地级市,2136.06,255.0,117.61,26.23,46.0,10365.0,5439.0
20200205,11.0,三明市,福建,地级市,2136.06,255.0,117.61,26.23,46.0,10365.0,5439.0
20200206,11.0,三明市,福建,地级市,2136.06,255.0,117.61,26.23,46.0,10365.0,5439.0
20200207,12.0,三明市,福建,地级市,2136.06,255.0,117.61,26.23,46.0,10365.0,5439.0
20200208,12.0,三明市,福建,地级市,2136.06,255.0,117.61,26.23,46.0,10365.0,5439.0
20200209,13.0,三明市,福建,地级市,2136.06,255.0,117.61,26.23,46.0,10365.0,5439.0
20200124,1.0,三门峡市,河南,地级市,1460.8,224.65,111.19,34.76,51.0,10942.0,5297.0
20200125,1.0,三门峡市,河南,地级市,1460.8,224.65,111.19,34.76,51.0,10942.0,5297.0
20200126,2.0,三门峡市,河南,地级市,1460.8,224.65,111.19,34.76,51.0,10942.0,5297.0
20200127,3.0,三门峡市,河南,地级市,1460.8,224.65,111.19,34.76,51.0,10942.0,5297.0
20200128,3.0,三门峡市,河南,地级市,1460.8,224.65,111.19,34.76,51.0,10942.0,5297.0
20200129,4.0,三门峡市,河南,地级市,1460.8,224.65,111.19,34.76,51.0,10942.0,5297.0
20200130,5.0,三门峡市,河南,地级市,1460.8,224.65,111.19,34.76,51.0,10942.0,5297.0
20200131,6.0,三门峡市,河南,地级市,1460.8,224.65,111.19,34.76,51.0,10942.0,5297.0
20200201,7.0,三门峡市,河南,地级市,1460.8,224.65,111.19,34.76,51.0,10942.0,5297.0
20200202,7.0,三门峡市,河南,地级市,1460.8,224.65,111.19,34.76,51.0,10942.0,5297.0
20200203,7.0,三门峡市,河南,地级市,1460.8,224.65,111.19,34.76,51.0,10942.0,5297.0
20200204,7.0,三门峡市,河南,地级市,1460.8,224.65,111.19,34.76,51.0,10942.0,5297.0
20200205,7.0,三门峡市,河南,地级市,1460.8,224.65,111.19,34.76,51.0,10942.0,5297.0
20200206,7.0,三门峡市,河南,地级市,1460.8,224.65,111.19,34.76,51.0,10942.0,5297.0
20200207,7.0,三门峡市,河南,地级市,1460.8,224.65,111.19,34.76,51.0,10942.0,5297.0
20200208,7.0,三门峡市,河南,地级市,1460.8,224.65,111.19,34.76,51.0,10942.0,5297.0
20200209,7.0,三门峡市,河南,地级市,1460.8,224.65,111.19,34.76,51.0,10942.0,5297.0
20200124,0.0,上海市,上海,直辖市,30133.86,2418.33,121.48,31.22,363.0,115916.0,67907.0
20200125,0.0,上海市,上海,直辖市,30133.86,2418.33,121.48,31.22,363.0,115916.0,67907.0
20200126,0.0,上海市,上海,直辖市,30133.86,2418.33,121.48,31.22,363.0,115916.0,67907.0
20200127,53.0,上海市,上海,直辖市,30133.86,2418.33,121.48,31.22,363.0,115916.0,67907.0
